phase,arm,outer_fold,inner_fold,candidate,seed,started,status,finished,seconds,train_n,val_n,parameters,steps,checkpoints,artifact,choice,test_n
outer,vmd,2,,,2,2026-09-22T04:16:25.677354+00:00,complete,2026-09-22T04:18:00.320744+00:00,102.0692135320005,1300,,111,1640,,outer/vmd_o2_seed2.json,"{'arm': 'vmd', 'outer_fold': 2, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 40, 'macro_f1': 0.6725166290629856, 'accuracy': 0.6976923076923077}",320.0
outer,vmd,3,,,0,2026-09-22T04:13:57.949215+00:00,complete,2026-09-22T04:14:45.831489+00:00,50.33615504000045,1300,,111,820,,outer/vmd_o3_seed0.json,"{'arm': 'vmd', 'outer_fold': 3, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 20, 'macro_f1': 0.6371195710519255, 'accuracy': 0.6707692307692308}",320.0
outer,vmd,3,,,1,2026-09-22T04:15:33.333747+00:00,complete,2026-09-22T04:16:22.656456+00:00,51.78936411900031,1300,,111,820,,outer/vmd_o3_seed1.json,"{'arm': 'vmd', 'outer_fold': 3, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 20, 'macro_f1': 0.6371195710519255, 'accuracy': 0.6707692307692308}",320.0
outer,vmd,3,,,2,2026-09-22T04:17:11.843972+00:00,complete,2026-09-22T04:17:57.935875+00:00,51.03785413100013,1300,,111,820,,outer/vmd_o3_seed2.json,"{'arm': 'vmd', 'outer_fold': 3, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 20, 'macro_f1': 0.6371195710519255, 'accuracy': 0.6707692307692308}",320.0
outer,vmd,4,,,0,2026-09-22T04:13:57.954577+00:00,complete,2026-09-22T04:15:33.197291+00:00,102.64322211400031,1300,,111,1640,,outer/vmd_o4_seed0.json,"{'arm': 'vmd', 'outer_fold': 4, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 40, 'macro_f1': 0.6299745690086015, 'accuracy': 0.6684615384615384}",320.0
outer,vmd,4,,,1,2026-09-22T04:15:36.748435+00:00,complete,2026-09-22T04:17:12.470950+00:00,103.14722044499831,1300,,111,1640,,outer/vmd_o4_seed1.json,"{'arm': 'vmd', 'outer_fold': 4, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 40, 'macro_f1': 0.6299745690086015, 'accuracy': 0.6684615384615384}",320.0
outer,vmd,4,,,2,2026-09-22T04:17:12.481608+00:00,complete,2026-09-22T04:18:35.864068+00:00,90.80683131899968,1300,,111,1640,,outer/vmd_o4_seed2.json,"{'arm': 'vmd', 'outer_fold': 4, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 40, 'macro_f1': 0.6299745690086015, 'accuracy': 0.6684615384615384}",320.0
outer,wst,0,,,0,2026-09-22T04:13:57.940998+00:00,complete,2026-09-22T04:18:16.620782+00:00,278.4921162270002,1280,,129,3200,,outer/wst_o0_seed0.json,"{'arm': 'wst', 'outer_fold': 0, 'candidate': 'reupload_3', 'candidate_order': 2, 'n_layers': 3, 'epochs': 80, 'macro_f1': 0.5632971493260182, 'accuracy': 0.60703125}",340.0
outer,wst,0,,,1,2026-09-22T04:14:45.841943+00:00,complete,2026-09-22T04:18:50.184975+00:00,264.15520775500045,1280,,129,3200,,outer/wst_o0_seed1.json,"{'arm': 'wst', 'outer_fold': 0, 'candidate': 'reupload_3', 'candidate_order': 2, 'n_layers': 3, 'epochs': 80, 'macro_f1': 0.5632971493260182, 'accuracy': 0.60703125}",340.0
outer,wst,0,,,2,2026-09-22T04:16:22.595388+00:00,complete,2026-09-22T04:19:52.199517+00:00,229.41793526000038,1280,,129,3200,,outer/wst_o0_seed2.json,"{'arm': 'wst', 'outer_fold': 0, 'candidate': 'reupload_3', 'candidate_order': 2, 'n_layers': 3, 'epochs': 80, 'macro_f1': 0.5632971493260182, 'accuracy': 0.60703125}",340.0
