model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_sensitivity,macro_specificity,sens_ARR,spec_ARR,prec_ARR,f1_ARR,support_ARR,sens_CHF,spec_CHF,prec_CHF,f1_CHF,support_CHF,sens_NSR,spec_NSR,prec_NSR,f1_NSR,support_NSR,cm,patient_accuracy,patient_balanced_accuracy,patient_macro_f1,patient_macro_sensitivity,patient_macro_specificity,patient_cm,n_windows,fold
vmd_new_seed2,0.796875,0.8041666666666667,0.7784449600735815,0.8004015505455915,0.8041666666666667,0.89751221001221,0.7833333333333333,0.8928571428571429,0.9038461538461539,0.8392857142857143,180,0.8166666666666667,0.9038461538461539,0.6621621621621622,0.7313432835820896,60,0.8125,0.8958333333333334,0.7222222222222222,0.7647058823529411,80,"141,20,19;5,49,6;10,5,65",1.0,1.0,1.0,1.0,1.0,"9,0,0;0,3,0;0,0,4",320,1
vmd_new_seed2,0.7375,0.7394444444444445,0.6985985121438528,0.7473005060561239,0.7394444444444445,0.8683760683760684,0.735,0.8666666666666667,0.901840490797546,0.8099173553719009,200,0.7333333333333333,0.8576923076923076,0.5432098765432098,0.624113475177305,60,0.75,0.8807692307692307,0.5921052631578947,0.6617647058823529,60,"147,30,23;8,44,8;8,7,45",0.8125,0.8222222222222223,0.7886382623224728,0.8222222222222223,0.8931623931623932,"8,1,1;1,2,0;0,0,3",320,2
vmd_new_seed2,0.546875,0.5537037037037037,0.5243523781903706,0.5583064754821285,0.5537037037037037,0.7701923076923077,0.5277777777777778,0.75,0.7307692307692307,0.6129032258064515,180,0.5333333333333333,0.7730769230769231,0.3516483516483517,0.423841059602649,60,0.6,0.7875,0.48484848484848486,0.536312849162011,80,"95,48,37;14,32,14;21,11,48",0.625,0.6574074074074074,0.621031746031746,0.6574074074074074,0.7979242979242979,"5,2,2;1,2,0;1,0,3",320,3
vmd_new_seed2,0.6375,0.6705555555555556,0.6110863922877271,0.6499860956618464,0.6705555555555556,0.8198717948717947,0.595,0.825,0.85,0.7,200,0.6833333333333333,0.8307692307692308,0.4823529411764706,0.5655172413793104,60,0.7333333333333333,0.8038461538461539,0.4631578947368421,0.567741935483871,60,"119,38,43;11,41,8;10,6,44",0.6875,0.8333333333333334,0.6944444444444443,0.8333333333333334,0.8717948717948718,"5,3,2;0,3,0;0,0,3",320,4
wst_knn,0.6911764705882353,0.6247222222222223,0.6247590592583679,0.6836697967650739,0.6247222222222223,0.811904761904762,0.77,0.6428571428571429,0.7549019607843137,0.7623762376237624,200,0.36666666666666664,0.9428571428571428,0.5789473684210527,0.44897959183673464,60,0.7375,0.85,0.6020408163265306,0.6629213483146067,80,"154,14,32;31,22,7;19,2,59",0.6875,0.6203703703703703,0.6345029239766081,0.6203703703703703,0.8015873015873015,"7,0,2;2,1,0;1,0,3",340,0
wst_knn,0.815625,0.7666666666666666,0.7862396502117074,0.8148135467577993,0.7666666666666666,0.8823870573870574,0.9,0.7285714285714285,0.81,0.8526315789473685,180,0.65,0.926923076923077,0.6724137931034483,0.6610169491525424,60,0.75,0.9916666666666667,0.967741935483871,0.8450704225352113,80,"162,17,1;20,39,1;18,2,60",0.9375,0.9166666666666666,0.9348370927318296,0.9166666666666666,0.9523809523809524,"9,0,0;0,3,0;1,0,3",320,1
wst_knn,0.7125,0.6911111111111111,0.6699055330634277,0.7176113360323887,0.6911111111111111,0.8341880341880342,0.74,0.7333333333333333,0.8222222222222222,0.7789473684210526,200,0.6,0.9192307692307692,0.631578947368421,0.6153846153846154,60,0.7333333333333333,0.85,0.5301204819277109,0.6153846153846154,60,"148,15,37;22,36,2;10,6,44",0.875,0.8555555555555555,0.8523809523809525,0.8555555555555555,0.9188034188034188,"9,0,1;1,2,0;0,0,3",320,2
wst_knn,0.6,0.5050925925925926,0.5012489370653688,0.5790010699071264,0.5050925925925926,0.7562576312576312,0.7444444444444445,0.5142857142857142,0.6633663366336634,0.7015706806282722,180,0.18333333333333332,0.9461538461538461,0.44,0.25882352941176473,60,0.5875,0.8083333333333333,0.5053763440860215,0.5433526011560694,80,"134,13,33;36,11,13;32,1,47",0.8125,0.6944444444444443,0.7380952380952381,0.6944444444444443,0.8571428571428571,"9,0,0;2,1,0;1,0,3",320,3
wst_knn,0.725,0.6433333333333334,0.6461800960331195,0.7109643422961417,0.6433333333333334,0.8094017094017093,0.83,0.5666666666666667,0.7614678899082569,0.7942583732057417,200,0.3333333333333333,0.9461538461538461,0.5882352941176471,0.42553191489361697,60,0.7666666666666667,0.9153846153846154,0.6764705882352942,0.71875,60,"166,14,20;38,20,2;14,0,46",0.8125,0.7444444444444445,0.7380952380952381,0.7444444444444445,0.8632478632478632,"9,0,1;2,1,0;0,0,3",320,4
wst_original_seed0,0.6941176470588235,0.65,0.6451903060567391,0.6944232332427206,0.65,0.8217948717948719,0.75,0.6928571428571428,0.7772020725388601,0.7633587786259541,200,0.5,0.9071428571428571,0.5357142857142857,0.5172413793103449,60,0.7,0.8653846153846154,0.6153846153846154,0.6549707602339182,80,"150,22,28;23,30,7;20,4,56",0.8125,0.7685185185185185,0.7973684210526315,0.7685185185185185,0.876984126984127,"8,0,1;1,2,0;1,0,3",340,0
